Model,Status,Macro_F1,Mel_Recall,Mal_Recall_Avg,Ben_Prec_Avg
resnet50_cbam,Default (0.5),0.6549559471429364,0.4880952380952381,0.6752185722773958,0.7074296185240714
resnet50_cbam,Optimized (0.35),0.6496802791399955,0.7202380952380952,0.7525995246583482,0.7211762779029449
efficientnet_b0,Default (0.5),0.6499591791716727,0.6130952380952381,0.7342012562600798,0.827196768481629
efficientnet_b0,Optimized (0.35),0.6446586456688573,0.6547619047619048,0.7480901451489687,0.829394810416863
resnet50_vanilla,Default (0.5),0.5505169252772355,0.25595238095238093,0.5327327900857313,0.6263125288944325
resnet50_vanilla,Optimized (0.35),0.5528634828167295,0.27380952380952384,0.5386851710381122,0.6265595009057053
