Model,Threshold,Macro_F1,Mel_Recall,Mal_Recall_Avg,Ben_Prec_Avg
efficientnet_b0,0.50 (Default),0.6499591791716727,0.6130952380952381,0.7342012562600798,0.827196768481629
efficientnet_b0,0.2 (Clinical),0.6229162521285864,0.7976190476190477,0.7564935064935066,0.8405980634409838
random_forest,N/A,0.27544063285537107,0.017857142857142856,0.16867201426024958,0.5420361122435113
resnet50_cbam,0.50 (Default),0.7164158823240471,0.5714285714285714,0.6878023936847466,0.8247365137517256
resnet50_cbam,0.2 (Clinical),0.6889135132899078,0.8630952380952381,0.7741596638655462,0.8559236892481855
resnet50_vanilla,0.50 (Default),0.5505169252772355,0.25595238095238093,0.5327327900857313,0.6263125288944325
resnet50_vanilla,0.2 (Clinical),0.5455493269669044,0.5773809523809523,0.6202678040913335,0.6349113207607207
