train_loss,train_acc,val_loss,val_acc
1.5531001677755123,0.0742840941309895,1.5904347488626105,0.08948087431693989
1.5053703096117756,0.07981287212928835,1.56762843110848,0.1092896174863388
1.4656003855901836,0.21151119931953502,1.5218807405949941,0.27117486338797814
1.2828130721707909,0.4057272469520839,1.385973168282561,0.4487704918032787
1.0803646585709452,0.6440317550326056,1.011782205210683,0.44672131147540983
0.927435469823415,0.6973348454777432,1.219661154626497,0.6099726775956285
0.8363078128507396,0.7100935639353558,0.8152399949851583,0.4098360655737705
0.6892372461530687,0.7649560533030905,0.757317617189526,0.5259562841530054
0.6346533413747231,0.7979869577544656,0.7404760898706692,0.5908469945355191
0.5840085425836897,0.8032322086759286,0.6922723534491544,0.5068306010928961
0.5375768819780028,0.826906719591721,0.8452555027795456,0.6577868852459017
0.5003675494310299,0.8493053586617522,0.7842329630190558,0.5362021857923497
0.46148869780354096,0.8464700878933938,0.7014511092031588,0.5607923497267759
0.41377703816349254,0.8613552594272753,0.7703036889840996,0.639344262295082
0.3304969288148926,0.884604479727814,0.7420381856293422,0.6905737704918032
0.3053293203307104,0.8936773461865608,0.7004940504859624,0.6707650273224044
0.2808007543971527,0.8983555429543522,0.6715950504444091,0.6530054644808743
0.2613530160602037,0.9048766657215764,0.67651544335741,0.6680327868852459
0.2679684551251587,0.9067195917210094,0.7180594628030444,0.6898907103825137
0.23974960375083956,0.908987808335696,0.7179898565222861,0.6912568306010929
0.25961146891742376,0.9102636801814573,0.7237040143907885,0.6939890710382514
0.23517404162798417,0.9145165863339949,0.7005054563171959,0.6796448087431693
0.23023144325369777,0.9116813155656365,0.7242417365103919,0.7015027322404371
0.24377702388871247,0.9098383895662036,0.7222074132662043,0.700136612021858
0.2330337178953856,0.914374822795577,0.7055123143351021,0.6926229508196722
0.2456255038914479,0.914233059257159,0.7215130342389432,0.700136612021858
