Model,Macro_F1,Mal_Recall_Avg,Ben_Prec_Avg,Mel_Recall,Mel_F1
resnet50_cbam,0.6549559471429364,0.6752185722773958,0.7074296185240714,0.4880952380952381,0.5093167701863354
efficientnet_b0,0.6499591791716727,0.7342012562600798,0.827196768481629,0.6130952380952381,0.6076696165191741
resnet50_vanilla,0.5505169252772355,0.5327327900857313,0.6263125288944325,0.25595238095238093,0.3412698412698413
random_forest,0.27544063285537107,0.16867201426024958,0.5420361122435113,0.017857142857142856,0.03409090909090909
