Model,Macro_F1,Mal_Recall_Avg,Ben_Prec_Avg,Mel_Recall,Mel_F1
random_forest,0.27544063285537107,0.16867201426024958,0.5420361122435113,0.017857142857142856,0.03409090909090909
resnet50_vanilla,0.5505169252772355,0.5327327900857313,0.6263125288944325,0.25595238095238093,0.3412698412698413
efficientnet_b0,0.6499591791716727,0.7342012562600798,0.827196768481629,0.6130952380952381,0.6076696165191741
resnet50_cbam,0.7164158823240471,0.6878023936847466,0.8247365137517256,0.5714285714285714,0.6114649681528662
